millis,stampunix,datetime,RH%,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3998, 1683108332, 2023/5/3 10:5:32, 43.30, 22.30, 234.38, 1812.94, 1240.23, 0.00, 0.00, 0.00, 1, 1
5999, 1683108334, 2023/5/3 10:5:34, 43.30, 22.40, 232.88, 1812.94, 1235.35, 0.00, 0.00, 0.00, 2, 1
7999, 1683108336, 2023/5/3 10:5:36, 43.20, 22.40, 232.13, 1813.50, 1235.35, 0.00, 0.00, 0.00, 3, 1
9999, 1683108338, 2023/5/3 10:5:38, 43.20, 22.40, 231.94, 1814.06, 1235.35, 0.00, 0.00, 0.00, 4, 1
12000, 1683108340, 2023/5/3 10:5:40, 43.20, 22.40, 232.31, 1813.69, 1235.35, 0.00, 0.00, 0.00, 5, 1
3999, 1683108423, 2023/5/3 10:7:3, 43.00, 22.50, 380.63, 1825.13, 1240.23, 0.00, 0.00, 0.00, 1, 1
5999, 1683108425, 2023/5/3 10:7:5, 43.00, 22.50, 325.88, 1825.69, 1235.35, 0.00, 0.00, 0.00, 2, 1
3999, 1683108443, 2023/5/3 10:7:23, 43.00, 22.60, 237.00, 1826.63, 1240.23, 0.00, 0.00, 0.00, 1, 1
5998, 1683108445, 2023/5/3 10:7:25, 43.00, 22.60, 237.94, 1826.44, 1235.35, 0.00, 0.00, 0.00, 2, 1
3999, 1683109116, 2023/5/3 10:18:36, 45.50, 22.20, 478.31, 1827.75, 4077.15, 0.00, 23.03, 0.00, 1, 1
5999, 1683109118, 2023/5/3 10:18:38, 45.50, 22.20, 363.94, 1827.75, 4077.15, 0.00, 23.03, 0.00, 2, 1
7998, 1683109120, 2023/5/3 10:18:40, 43.60, 22.20, 302.81, 1827.75, 4077.15, 0.00, 23.03, 0.00, 3, 1
9999, 1683109122, 2023/5/3 10:18:42, 42.70, 22.20, 267.94, 1827.75, 4077.15, 0.00, 23.03, 0.00, 4, 1
11999, 1683109124, 2023/5/3 10:18:44, 42.50, 22.20, 1827.75, 1827.94, 4077.15, 0.00, 23.03, 0.00, 5, 1
