millis,stampunix,datetime,RH%,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3999, 1691595342, 2023/8/9 15:35:42, 61.80, 23.20, 1464.56, 1785.19, 1215.82, 0.00, 0.00, 0.00, 1, 1
5999, 1691595344, 2023/8/9 15:35:44, 62.30, 23.20, 471.56, 1789.50, 1215.82, 0.00, 0.00, 0.00, 2, 1
3999, 1691595351, 2023/8/9 15:35:51, 61.60, 23.20, 262.69, 1791.19, 1215.82, 0.00, 0.00, 0.00, 1, 1
5999, 1691595353, 2023/8/9 15:35:53, 60.90, 23.20, 246.38, 1791.38, 1215.82, 0.00, 0.00, 0.00, 2, 1
7998, 1691595355, 2023/8/9 15:35:55, 60.70, 23.20, 235.69, 1791.19, 1215.82, 0.00, 0.00, 0.00, 3, 1
9999, 1691595357, 2023/8/9 15:35:57, 60.50, 23.30, 228.19, 1791.00, 1215.82, 0.00, 0.00, 0.00, 4, 1
12000, 1691595359, 2023/8/9 15:35:59, 60.40, 23.20, 222.94, 1790.81, 1215.82, 0.00, 0.00, 0.00, 5, 1
14000, 1691595361, 2023/8/9 15:36:1, 60.30, 23.20, 219.19, 1791.00, 1215.82, 0.00, 0.00, 0.00, 6, 1
16000, 1691595363, 2023/8/9 15:36:3, 60.20, 23.20, 216.94, 1791.38, 1215.82, 0.00, 0.00, 0.00, 7, 1
17999, 1691595365, 2023/8/9 15:36:5, 60.20, 23.20, 215.25, 1791.38, 1215.82, 0.00, 0.00, 0.00, 8, 1
20000, 1691595367, 2023/8/9 15:36:7, 60.20, 23.20, 214.50, 1791.38, 1215.82, 0.00, 0.00, 0.00, 9, 1
21999, 1691595369, 2023/8/9 15:36:9, 60.10, 23.20, 213.94, 1791.75, 1215.82, 0.00, 0.00, 0.00, 10, 1
23999, 1691595371, 2023/8/9 15:36:11, 60.00, 23.20, 213.75, 1791.94, 1215.82, 0.00, 0.00, 0.00, 11, 1
25999, 1691595373, 2023/8/9 15:36:13, 59.90, 23.20, 214.13, 1791.75, 1215.82, 0.00, 0.00, 0.00, 12, 1
4000, 1691595165, 2023/8/9 15:32:45, 59.60, 23.20, 235.13, 1798.31, 1215.82, 0.00, 0.00, 0.00, 1, 1
5999, 1691595167, 2023/8/9 15:32:47, 59.60, 23.20, 236.81, 1798.69, 1215.82, 0.00, 0.00, 0.00, 2, 1
7998, 1691595169, 2023/8/9 15:32:49, 59.60, 23.20, 238.31, 1799.06, 1215.82, 0.00, 0.00, 0.00, 3, 1
9999, 1691595171, 2023/8/9 15:32:51, 59.50, 23.20, 239.63, 1799.81, 1215.82, 0.00, 0.00, 0.00, 4, 1
12000, 1691595173, 2023/8/9 15:32:53, 59.50, 23.20, 241.31, 1800.19, 1215.82, 0.00, 0.00, 0.00, 5, 1
14000, 1691595175, 2023/8/9 15:32:55, 59.50, 23.20, 242.25, 1800.19, 1215.82, 0.00, 0.00, 0.00, 6, 1
15998, 1691595177, 2023/8/9 15:32:57, 59.50, 23.20, 243.94, 1800.38, 1220.70, 0.00, 0.00, 0.00, 7, 1
17998, 1691595179, 2023/8/9 15:32:59, 59.60, 23.20, 246.56, 1801.88, 1245.12, 0.00, 0.00, 0.00, 8, 1
3999, 1691596098, 2023/8/9 15:48:18, 63.50, 22.80, 297.94, 1797.94, 4135.74, 0.00, 0.00, 0.00, 1, 1
5999, 1691596100, 2023/8/9 15:48:20, 63.40, 22.80, 256.31, 1798.31, 4135.74, 0.00, 0.00, 0.00, 2, 1
7999, 1691596102, 2023/8/9 15:48:22, 63.40, 22.80, 227.63, 1798.50, 4135.74, 0.00, 0.00, 0.00, 3, 1
9999, 1691596104, 2023/8/9 15:48:24, 63.30, 22.80, 209.44, 1798.50, 4135.74, 0.00, 0.00, 0.00, 4, 1
12000, 1691596106, 2023/8/9 15:48:26, 63.20, 22.80, 199.88, 1798.69, 4135.74, 0.00, 0.00, 0.00, 5, 1
14000, 1691596108, 2023/8/9 15:48:28, 63.10, 22.80, 194.81, 1798.88, 4135.74, 0.00, 0.00, 0.00, 6, 1
16000, 1691596110, 2023/8/9 15:48:30, 63.10, 22.80, 192.19, 1798.88, 4135.74, 0.00, 0.00, 0.00, 7, 1
17999, 1691596112, 2023/8/9 15:48:32, 63.10, 22.80, 191.06, 1798.88, 4135.74, 0.00, 0.00, 0.00, 8, 1
3998, 1691596415, 2023/8/9 15:53:35, 63.40, 22.70, 237.94, 1805.06, 4135.74, 0.00, 0.00, 0.00, 1, 1
5999, 1691596417, 2023/8/9 15:53:37, 63.40, 22.70, 225.19, 1805.44, 4135.74, 0.00, 0.00, 0.00, 2, 1
7998, 1691596419, 2023/8/9 15:53:39, 63.40, 22.70, 208.13, 1805.63, 4135.74, 0.00, 0.00, 0.00, 3, 1
9999, 1691596421, 2023/8/9 15:53:41, 63.30, 22.70, 197.81, 1805.63, 4135.74, 0.00, 0.00, 0.00, 4, 1
11999, 1691596423, 2023/8/9 15:53:43, 63.20, 22.70, 192.56, 1805.63, 4135.74, 0.00, 0.00, 0.00, 5, 1
14000, 1691596425, 2023/8/9 15:53:45, 63.20, 22.70, 190.13, 1805.63, 4135.74, 0.00, 0.00, 0.00, 6, 1
