millis,stampunix,datetime,RH%,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3999, 1691595540, 2023/8/9 15:39:0, 60.20, 24.60, 886.69, 1832.63, 1245.12, 0.00, 0.00, 0.00, 1, 1
5999, 1691595542, 2023/8/9 15:39:2, 60.20, 24.60, 420.94, 1833.19, 1245.12, 0.00, 0.00, 0.00, 2, 1
7999, 1691595544, 2023/8/9 15:39:4, 59.50, 24.70, 336.94, 1833.00, 1245.12, 0.00, 0.00, 0.00, 3, 1
9999, 1691595546, 2023/8/9 15:39:6, 59.50, 24.70, 292.31, 1832.81, 1245.12, 0.00, 0.00, 0.00, 4, 1
12000, 1691595548, 2023/8/9 15:39:8, 58.60, 24.70, 265.50, 1833.19, 1245.12, 0.00, 0.00, 0.00, 5, 1
14000, 1691595550, 2023/8/9 15:39:10, 58.10, 24.70, 248.25, 1832.81, 1245.12, 0.00, 0.00, 0.00, 6, 1
16000, 1691595552, 2023/8/9 15:39:12, 59.00, 24.70, 237.00, 1833.19, 1245.12, 0.00, 0.00, 0.00, 7, 1
17999, 1691595554, 2023/8/9 15:39:14, 59.80, 24.70, 229.50, 1832.81, 1245.12, 0.00, 0.00, 0.00, 8, 1
19999, 1691595556, 2023/8/9 15:39:16, 60.30, 24.70, 224.44, 1833.75, 1245.12, 0.00, 0.00, 0.00, 9, 1
21998, 1691595558, 2023/8/9 15:39:18, 60.10, 24.70, 220.88, 1833.94, 1245.12, 0.00, 0.00, 0.00, 10, 1
23999, 1691595560, 2023/8/9 15:39:20, 60.00, 24.70, 218.44, 1834.31, 1245.12, 0.00, 0.00, 0.00, 11, 1
25999, 1691595562, 2023/8/9 15:39:22, 59.50, 24.70, 217.13, 1833.94, 1245.12, 0.00, 0.00, 0.00, 12, 1
3999, 1691595348, 2023/8/9 15:35:48, 57.40, 24.70, 222.00, 1839.75, 1250.00, 0.00, 0.00, 0.00, 1, 1
5999, 1691595350, 2023/8/9 15:35:50, 57.00, 24.70, 223.31, 1840.69, 1245.12, 0.00, 0.00, 0.00, 2, 1
