millis,stampunix,datetime,RH%,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3999, 1683108246, 2023/5/3 10:4:6, 43.70, 21.10, 217.69, 1792.69, 1235.35, 0.00, 0.00, 0.00, 1, 1
5998, 1683108248, 2023/5/3 10:4:8, 43.60, 21.10, 218.25, 1792.69, 1235.35, 0.00, 0.00, 0.00, 2, 1
7999, 1683108250, 2023/5/3 10:4:10, 43.50, 21.20, 219.00, 1792.88, 1235.35, 0.00, 0.00, 0.00, 3, 1
3999, 1683108262, 2023/5/3 10:4:22, 44.00, 21.30, 229.31, 1798.31, 1240.23, 0.00, 0.00, 0.00, 1, 1
5998, 1683108264, 2023/5/3 10:4:24, nan, nan, 231.00, 1798.31, 1235.35, 0.00, 0.00, 0.00, 2, 1
7999, 1683108266, 2023/5/3 10:4:26, 43.50, 21.30, 232.69, 1798.88, 1240.23, 0.00, 0.00, 0.00, 3, 1
9999, 1683108268, 2023/5/3 10:4:28, nan, nan, 234.38, 1799.44, 1240.23, 0.00, 0.00, 0.00, 4, 1
12000, 1683108270, 2023/5/3 10:4:30, 43.50, 21.40, 236.25, 1799.63, 1240.23, 0.00, 0.00, 0.00, 5, 1
14000, 1683108272, 2023/5/3 10:4:32, 43.50, 21.40, 238.13, 1800.00, 1235.35, 0.00, 0.00, 0.00, 6, 1
16000, 1683108274, 2023/5/3 10:4:34, 43.30, 21.40, 237.19, 1793.25, 1235.35, 0.00, 0.00, 0.00, 7, 1
17999, 1683108276, 2023/5/3 10:4:36, 43.30, 21.40, 238.13, 1794.94, 1235.35, 0.00, 0.00, 0.00, 8, 1
19999, 1683108278, 2023/5/3 10:4:38, nan, nan, 240.38, 1796.25, 1235.35, 0.00, 0.00, 0.00, 9, 1
21999, 1683108280, 2023/5/3 10:4:40, nan, nan, 241.50, 1797.00, 1235.35, 0.00, 0.00, 0.00, 10, 1
23999, 1683108282, 2023/5/3 10:4:42, 48.90, 21.50, 242.06, 1797.19, 1235.35, 0.00, 0.00, 0.00, 11, 1
25999, 1683108284, 2023/5/3 10:4:44, 50.60, 21.50, 243.19, 1797.94, 1235.35, 0.00, 0.00, 0.00, 12, 1
27999, 1683108286, 2023/5/3 10:4:46, 50.60, 21.50, 244.13, 1800.38, 1235.35, 0.00, 0.00, 0.00, 13, 1
30000, 1683108288, 2023/5/3 10:4:48, 51.40, 21.50, 244.88, 1800.00, 1235.35, 0.00, 0.00, 0.00, 14, 1
32000, 1683108290, 2023/5/3 10:4:50, 54.40, 21.50, 245.63, 1802.81, 1235.35, 0.00, 0.00, 0.00, 15, 1
33999, 1683108292, 2023/5/3 10:4:52, 53.60, 21.50, 246.56, 1803.56, 1235.35, 0.00, 0.00, 0.00, 16, 1
35998, 1683108294, 2023/5/3 10:4:54, 54.70, 21.60, 247.50, 1804.31, 1235.35, 0.00, 0.00, 0.00, 17, 1
37999, 1683108296, 2023/5/3 10:4:56, 57.40, 21.60, 248.63, 1806.19, 1235.35, 0.00, 0.00, 0.00, 18, 1
3999, 1683108451, 2023/5/3 10:7:31, 43.20, 22.10, 405.56, 1824.00, 1240.23, 0.00, 0.00, 0.00, 1, 1
3999, 1683108475, 2023/5/3 10:7:55, 43.00, 22.20, 231.00, 1822.88, 1240.23, 0.00, 0.00, 0.00, 1, 1
3999, 966348483, 2000/3/163 134:8:3, 48.60, 22.50, 465.56, 1812.19, 4116.21, 0.00, 22.60, 0.00, 1, 1
5999, 951782463, 2000/3/0 0:1:3, 48.60, 22.50, 359.63, 1809.00, 4116.21, 0.00, 22.60, 0.00, 2, 1
7999, 951782463, 2000/3/0 0:1:3, 47.00, 22.60, 301.69, 1824.94, 4121.09, 0.00, 22.60, 0.00, 3, 1
9999, 951782463, 2000/3/0 0:1:3, 47.60, 22.60, 1824.94, 1833.19, 4121.09, 0.00, 22.60, 0.00, 4, 1
11999, 951782463, 2000/3/0 0:1:3, 49.30, 22.60, 1833.19, 1835.44, 4121.09, 0.00, 22.60, 0.00, 5, 1
14000, 951782463, 2000/3/0 0:1:3, 49.80, 22.70, 1835.44, 1836.94, 4121.09, 0.00, 22.60, 0.00, 6, 1
16000, 951782463, 2000/3/0 0:1:3, 48.90, 22.60, 237.75, 1837.50, 4121.09, 0.00, 22.60, 0.00, 7, 1
17998, 951782463, 2000/3/0 0:1:3, 47.20, 22.70, 234.75, 1837.13, 4125.98, 0.00, 22.60, 0.00, 8, 1
19999, 951782463, 2000/3/0 0:1:3, 46.30, 22.70, 233.25, 1837.13, 4125.98, 0.00, 22.60, 0.00, 9, 1
21999, 951782463, 2000/3/0 0:1:3, 45.80, 22.70, 232.69, 1836.94, 4125.98, 0.00, 22.60, 0.00, 10, 1
23999, 952276083, 2000/3/0 137:8:3, 45.40, 22.70, 233.06, 1837.50, 4116.21, 41.61, 22.63, 920.00, 11, 1
25999, 951782463, 2000/3/0 0:1:3, 45.00, 22.70, 234.00, 1837.88, 4116.21, 41.61, 22.63, 920.00, 12, 1
27999, 951782463, 2000/3/0 0:1:3, 44.80, 22.70, 234.94, 1838.63, 4116.21, 41.61, 22.63, 920.00, 13, 1
29999, 951782463, 2000/3/0 0:1:3, 44.70, 22.70, 236.44, 1839.19, 4057.62, 41.61, 22.63, 920.00, 14, 1
32000, 951782463, 2000/3/0 0:1:3, 44.70, 22.70, 237.94, 1839.94, 4057.62, 41.61, 22.63, 920.00, 15, 1
33998, 951782463, 2000/3/0 0:1:3, 44.60, 22.70, 239.63, 1840.50, 4057.62, 41.61, 22.63, 920.00, 16, 1
35999, 951782463, 2000/3/0 0:1:3, 44.60, 22.70, 241.50, 1840.88, 4057.62, 41.61, 22.63, 920.00, 17, 1
37999, 951782463, 2000/3/0 0:1:3, 45.20, 22.70, 243.75, 1841.44, 4121.09, 41.61, 22.63, 920.00, 18, 1
