millis,stampunix,datetime,RH%,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3999, 1680525034, 2023/4/3 12:30:34, 39.30, 23.20, 192.00, 1781.06, 1235.35, 0.00, 0.00, 0.00, 1, 1
5999, 1680525036, 2023/4/3 12:30:36, 39.30, 23.30, 192.75, 1781.63, 1235.35, 0.00, 0.00, 0.00, 2, 1
7999, 1680525038, 2023/4/3 12:30:38, 39.00, 23.30, 193.69, 1782.56, 1235.35, 0.00, 0.00, 0.00, 3, 1
9999, 1680525040, 2023/4/3 12:30:40, 38.50, 23.30, 194.44, 1782.75, 1235.35, 0.00, 0.00, 0.00, 4, 1
12000, 1680525042, 2023/4/3 12:30:42, 38.30, 23.30, 195.38, 1783.31, 1235.35, 0.00, 0.00, 0.00, 5, 1
13999, 1680525044, 2023/4/3 12:30:44, 37.50, 23.30, 196.13, 1783.88, 1240.23, 0.00, 0.00, 0.00, 6, 1
16000, 1680525046, 2023/4/3 12:30:46, 36.50, 23.40, 196.69, 1784.25, 1235.35, 0.00, 0.00, 0.00, 7, 1
17999, 1680525048, 2023/4/3 12:30:48, 35.70, 23.40, 197.44, 1784.81, 1235.35, 0.00, 0.00, 0.00, 8, 1
20000, 1680525050, 2023/4/3 12:30:50, 35.20, 23.40, 198.19, 1785.56, 1235.35, 0.00, 0.00, 0.00, 9, 1
21999, 1680525052, 2023/4/3 12:30:52, 35.20, 23.40, 198.38, 1786.13, 1235.35, 0.00, 0.00, 0.00, 10, 1
23999, 1680525054, 2023/4/3 12:30:54, 35.10, 23.40, 205.31, 1786.69, 1240.23, 0.00, 0.00, 0.00, 11, 1
25999, 1680525056, 2023/4/3 12:30:56, 34.00, 23.40, 205.31, 1786.88, 1235.35, 0.00, 0.00, 0.00, 12, 1
27999, 1680525058, 2023/4/3 12:30:58, 34.00, 23.40, 204.56, 1787.44, 1235.35, 0.00, 0.00, 0.00, 13, 1
29999, 1680525060, 2023/4/3 12:31:0, 33.80, 23.40, 216.19, 1788.38, 1235.35, 0.00, 0.00, 0.00, 14, 1
32000, 1680525062, 2023/4/3 12:31:2, 36.20, 23.50, 221.06, 1789.31, 1235.35, 0.00, 0.00, 0.00, 15, 1
33999, 1680525064, 2023/4/3 12:31:4, 37.90, 23.50, 215.44, 1790.44, 1235.35, 0.00, 0.00, 0.00, 16, 1
35999, 1680525066, 2023/4/3 12:31:6, 37.40, 23.50, 210.38, 1790.81, 1240.23, 0.00, 0.00, 0.00, 17, 1
37999, 1680525068, 2023/4/3 12:31:8, 36.40, 23.50, 208.69, 1791.56, 1235.35, 0.00, 0.00, 0.00, 18, 1
39999, 1680525070, 2023/4/3 12:31:10, 35.20, 23.50, 207.75, 1791.19, 1240.23, 0.00, 0.00, 0.00, 19, 1
41999, 1680525072, 2023/4/3 12:31:12, 34.50, 23.50, 209.25, 1793.06, 1235.35, 0.00, 0.00, 0.00, 20, 1
